player_id,scene,N,switch_count,action_switch_rate,sequence
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip level 1 New,69,41,0.5942029,0|0|1|0|0|1|0|0|1|0|0|0|0|1|0|0|1|0|0|1|0|0|1|1|0|1|0|1|1|0|0|0|0|1|0|0|0|1|0|0|0|1|0|1|0|1|1|1|0|1|1|0|1|1|1|0|1|0|0|1|0|1|0|0|0|1|0|0|1
84FCBFEE-7AA6-5634-A109-0F234B1C0D48,flip level 1 New,57,33,0.5789474,0|0|1|1|0|0|1|0|0|1|0|1|0|0|1|0|0|0|1|1|0|0|1|0|1|1|1|1|1|0|0|1|0|0|0|0|0|1|0|1|0|0|0|1|0|1|0|1|1|1|0|1|1|0|1|0|1
84FCBFEE-7AA6-5634-A109-0F234B1C0D48,flip level 1 New,16,12,0.75,0|1|0|1|0|1|0|1|1|1|0|1|1|0|1|0
7AA3286E-3539-5659-80D0-EF9AA3B957ED,flip gravity tutorial,4,0,0,0|0|0|0
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip gravity tutorial,4,0,0,0|0|0|0
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip magnetic tutorial,5,0,0,1|1|1|1|1
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip level 1 New,55,34,0.6181818,0|0|1|1|0|0|1|0|0|1|0|0|1|0|1|0|0|0|1|1|0|1|1|0|0|0|1|0|0|1|0|0|0|1|0|0|0|1|0|1|0|1|0|0|1|1|0|1|1|0|1|0|0|1|0
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip level 3 New,12,7,0.5833333,0|0|1|0|1|0|0|0|0|1|0|1
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip level 3 New,24,13,0.5416667,0|0|0|0|0|0|1|0|0|1|0|0|0|1|0|1|0|1|0|1|0|0|1|1
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip level 3 New,1,0,0,1
838CD9BD-DCD3-5B8E-982B-FEABDFCA867B,flip level 3 New,1,0,0,1
c607d2939771f9beaebee62efaf28800eb50cdde,flip magnetic tutorial,5,0,0,1|1|1|1|1
c607d2939771f9beaebee62efaf28800eb50cdde,flip level 1 New,54,36,0.6666667,0|0|1|1|0|0|1|0|1|0|0|1|0|0|1|0|0|1|1|0|0|1|1|0|1|0|1|0|0|0|1|0|0|1|0|1|1|0|1|0|0|1|0|0|1|1|0|0|1|0|1|0|1|0
c607d2939771f9beaebee62efaf28800eb50cdde,flip magnetic tutorial,5,0,0,1|1|1|1|1
c607d2939771f9beaebee62efaf28800eb50cdde,flip gravity tutorial,4,0,0,0|0|0|0
c607d2939771f9beaebee62efaf28800eb50cdde,flip gravity tutorial,4,0,0,0|0|0|0
c607d2939771f9beaebee62efaf28800eb50cdde,flip magnetic tutorial,5,0,0,1|1|1|1|1
c607d2939771f9beaebee62efaf28800eb50cdde,flip gravity tutorial,4,0,0,0|0|0|0
